     QX8072NP.raw  #17426  RT: 50.8163 min
     FTMS, 701.8657@hcd27.00, z=+2, Mono m/z=701.84528 Da, MH+=1402.68328 Da, Match Tol.=0.6 Da
m/z	Intensity [counts]
107.88707	30091	
112.08751	97649	b₁⁺-H₂O	112.08751
113.07095	49573	
115.08739	76739	
127.05049	73643	
136.07590	270747	
137.07945	99495	
141.06654	106580	
143.08182	126226	
143.11821	311467	
144.12149	68461	
145.06126	189526	
146.06528	63343	
157.10884	44361	
158.09315	82330	y₁⁺-NH₃	158.09315
159.07732	343882	
160.08127	48271	
169.13445	203862	b₂⁺-H₂O	169.13445
170.13692	77196	
171.07654	61477	
171.11322	295981	
172.11659	108790	
173.05623	613900	
174.05960	141359	
175.06052	102186	
175.11940	846006	y₁⁺	175.11940
176.12196	176993	
183.11320	91245	
187.07178	618146	b₂⁺	187.07178
188.07527	204828	
189.07605	101097	
197.12875	181881	
198.13235	68636	
199.07191	303202	
200.07541	93415	y₃²⁺-NH₃	200.07541
201.07678	80787	
201.12354	61377	
212.10486	37966	
215.15915	49964	
223.10826	118349	
227.14023	73787	
229.11806	277516	
230.12117	136167	
230.33040	36568	
231.12360	75589	
240.09883	36895	
240.13466	261835	
241.13930	105725	
242.07860	80203	
242.14246	47209	
243.08212	52478	
244.09288	105443	
245.09369	39366	
251.10251	87233	
252.10680	38697	
255.13223	183818	
256.13916	116218	
258.10931	193179	
258.14523	409559	
259.11633	68480	
259.14786	226188	
260.11478	55441	
260.15048	62431	
268.12970	186532	
269.13184	127649	
269.59781	41395	
284.16165	146495	
285.16388	90796	
286.13995	872622	
287.14294	574989	
288.08493	44881	
288.14627	247511	
289.14542	82940	y₂⁺	289.14542
299.13928	74600	
300.15494	128743	b₃⁺-H₂O	300.15494
301.15796	61095	
302.10059	92789	
303.10068	73277	
311.17010	125390	
311.20859	76247	
312.15750	152436	
313.15991	114433	
315.13257	118271	
316.13458	71934	
326.16974	73657	
327.13022	119288	
327.17422	108085	
328.13641	97190	
329.14035	56523	
329.18210	106284	y₅²⁺-NH₃	329.18210
341.11148	47908	
345.14423	59101	
346.14380	43097	
353.22742	36141	
354.21472	692892	
355.16208	114807	
355.21689	611754	
356.16748	78240	
356.21957	291167	
357.17542	122405	
358.18054	68452	
359.12006	174714	
359.17880	48509	
360.12180	172607	
361.12665	114839	
366.13504	56125	b₆²⁺	366.13504
370.16263	42681	
371.18710	78672	
371.24017	1052153	
372.19452	69430	
372.24399	839913	
373.24680	382597	
374.13739	53280	
374.24823	83308	
383.15430	227446	
383.20398	46813	
384.15878	145318	
385.16528	125625	
386.16873	45954	
401.16721	556755	y₆²⁺	401.16721
401.22031	64141	
402.17050	509848	
403.17355	274571	
404.17490	109668	
406.14194	44182	
409.18671	87409	
410.19525	66119	
414.16278	94732	
415.17407	48909	
425.25409	122396	
426.19797	162587	
426.25574	129473	
427.18930	354008	
427.25433	69708	
428.18936	323241	
429.19531	160022	
430.15668	77826	
431.16074	89063	
432.16302	65362	
438.19382	46242	
442.20630	53019	
442.27707	742853	
443.28131	679369	
444.21414	92486	
444.28372	406739	
445.21225	118550	
445.28766	117147	
446.21225	81515	
454.19318	112207	
455.19922	92206	
456.20111	59376	b₄⁺-H₂O	456.20111
457.20139	50762	b₄⁺-NH₃	457.20139
458.21146	49722	
472.20459	172883	
473.20770	189456	
474.21140	159815	b₄⁺	474.21140
475.21445	51858	
498.22934	117618	
499.23196	70752	
508.21313	64616	
515.24573	72982	
516.24658	65210	
517.25433	61455	
520.22375	50284	
525.22662	48551	
526.23322	72680	
527.23755	73486	
543.23816	90736	
544.24377	47977	
545.24786	74704	y₄⁺	545.24786
605.34235	414415	
606.34430	868598	
607.34845	827135	
608.35016	395279	
631.28033	44252	
653.19861	69395	
692.32977	41082	
697.03546	62029	
768.40601	225445	
769.40906	654991	
770.41022	806134	
771.41663	634234	
772.41504	155472	
787.60693	46040	
796.35785	39944	
839.43030	74946	
840.43188	54573	b₇⁺-H₂O	840.43188
841.41534	48382	b₇⁺-NH₃	841.41534
855.43774	373196	
856.44043	1387770	
857.44391	2266243	
858.44604	1956232	b₇⁺	858.44604
859.44910	619047	
860.44501	62759	
910.46063	94609	
911.45770	43587	
912.47089	47161	y₇⁺-NH₃	912.47089
926.47681	254540	
927.47620	895541	
928.48291	1629149	
929.48389	1811880	y₇⁺	929.48389
930.48615	515820	
931.48737	75741	
981.52643	65318	
982.50507	82117	
997.50806	93885	
998.51532	347436	
999.51776	816461	
1000.52002	1092178	
1001.52679	406257	
1002.53021	79076	
1097.53650	120938	b₉⁺-NH₃	1097.53650
1098.53333	51614	
1113.54272	325844	
1114.54553	879561	b₉⁺	1114.54553
1115.54651	1548029	
1116.54907	765447	
1117.54285	137270	
