     QX8188NP.raw  #16819  RT: 50.6627 min
     FTMS, 701.3627@hcd27.00, z=+2, Mono m/z=701.34344 Da, MH+=1401.67961 Da, Match Tol.=0.6 Da
m/z	Intensity [counts]
112.08724	173163	
113.07074	102047	
115.08632	156302	
127.04991	146301	
136.07590	545821	
137.07996	180759	
141.06604	272579	b₃²⁺-NH₃	141.06604
143.08179	194578	
143.11844	548869	
144.12112	95896	
145.06097	400715	
158.09283	141664	y₁⁺-NH₃	158.09283
159.07660	755401	
169.13379	329649	
170.13803	132541	
171.07765	146038	
171.11308	580042	b₂⁺	171.11308
172.11601	181421	
173.05606	1412318	
174.05965	214586	
175.11937	1656194	y₁⁺	175.11937
176.12183	329798	
178.12250	100958	
183.11261	105442	
184.29842	90031	b₄²⁺-H₂O	184.29842
187.07184	1389289	
188.07436	293548	
189.07518	109194	
197.12880	422239	
198.13174	109406	
199.07201	828929	
200.07614	217517	
201.12387	149974	
203.06633	112997	
212.10353	115689	
213.08704	131362	
216.83261	690162	
223.10791	291229	
227.14009	181944	
229.11842	738620	
230.11990	380698	
231.12215	117771	
240.09679	88897	
240.13522	541174	
241.11674	135719	
241.14014	145400	
242.07864	181299	
244.09325	220695	
251.10214	174323	
255.13414	412765	
256.13635	167405	
258.10895	559848	
258.14517	1195252	
259.11206	259004	
259.14859	466666	
260.14944	136519	
268.13104	516072	
268.15866	100936	
269.13318	199528	
284.16025	511427	
285.16580	239595	
286.10519	205299	
286.13971	2507085	
287.14319	1183620	
288.08240	132174	
288.14481	257774	
294.14569	130381	
300.15350	402251	
301.15845	208593	
302.09814	273578	
303.09973	130926	
309.60904	92357	
311.17197	204768	
312.15701	484424	
312.21268	112126	
313.15903	277492	
314.13541	142399	
315.13229	231942	
316.13425	121576	
325.18658	100790	
326.17148	324929	
327.13126	340181	
327.16895	198605	
328.13348	230622	
328.17465	129089	
329.18225	209759	
330.18463	130180	
339.16626	139739	
341.10992	196873	
345.13934	210802	
354.21378	1473910	
355.16138	279671	
355.21606	1017107	
356.16470	142236	
356.21848	317768	
357.17563	402010	
358.17856	215599	
359.12021	754272	
360.12201	303369	y₃⁺	360.12201
366.13174	226288	
370.16232	151771	
371.18802	137949	
371.24054	2607514	
372.24341	1777138	
373.13501	134577	
373.24597	610977	
383.15234	504744	
383.20251	97574	
384.15732	493522	
385.16599	336616	
386.17273	197130	b₄⁺	386.17273
400.21759	165499	
401.16724	1769432	
401.22476	106232	
402.17191	1023166	
403.17050	431327	
408.18146	227422	
409.17993	279664	
410.18301	126707	
425.25146	356935	
426.19708	462476	
426.25546	292360	
427.18613	881877	
427.25531	148213	
428.18765	514720	
429.18918	140279	
430.15936	277428	
431.16089	201958	
432.16473	135148	
442.20682	96829	
442.27747	2081381	
443.28058	1713276	
444.20862	423870	
444.28391	575731	
445.21140	347748	
446.21680	116626	
454.19394	294809	
455.19562	306443	b₅⁺-H₂O	455.19562
456.19296	140188	b₅⁺-NH₃	456.19296
472.20319	608188	
473.20660	651831	b₅⁺	473.20660
474.20941	304241	
479.22882	138482	
480.22159	127302	
490.19833	152396	
497.23132	229623	
498.22864	273110	
499.22882	197201	y₄⁺-NH₃	499.22882
515.24420	275961	
516.25189	186034	y₄⁺	516.25189
519.22052	135740	
520.22437	106492	
525.23138	128066	
526.23529	132944	
543.23907	340525	
544.24390	175762	
545.24414	166123	
557.24048	111759	
605.34125	1782120	
606.34479	2891376	
607.34711	1624964	
608.34650	341931	
612.26367	123553	
613.26648	155851	y₅⁺-H₂O	613.26648
630.27344	129300	
632.28149	147561	
635.26233	134961	y₁₃²⁺-H₂O	635.26233
705.29779	118243	
768.40472	1088352	
769.40741	2569001	
770.40967	2137194	
771.40900	464848	b₉⁺	771.40900
838.43353	161134	
839.42920	205049	
855.43707	2058317	y₈⁺-NH₃	855.43707
856.44092	5367014	
857.44330	6676017	
858.44666	1623455	
859.44989	207584	
909.46271	209796	
910.46503	284729	
926.47083	1230407	
927.27740	194826	
927.47931	3639944	
928.48004	5406101	
929.48077	1775199	y₉⁺	929.48077
930.48834	245073	
980.51459	143764	
981.50342	161067	
997.51636	479498	
998.51300	2145979	y₁₀⁺-H₂O	998.51300
999.51678	3604536	y₁₀⁺-NH₃	999.51678
1000.51898	1007507	
1096.52576	467173	
1097.53333	151771	
1112.53113	405611	
1113.54309	1845104	
1114.54504	4821935	
1115.55176	1676663	
1116.54126	293086	
