     Humira 10ul excl 1.raw  #42104  RT: 125.9635 min	
"     FTMS, 1455.3252@hcd29.00, z=+3, Mono m/z=1454.33398 Da, MH+=4360.98740 Da, Match Tol.=0.05 Da"	
m/z	Intensity [counts]
299.1416	10026
299.17703	11674
300.15451	8289
302.17123	12650
303.13199	9338
303.14401	11121
303.17734	80025
304.12976	11426
305.18192	17686
310.10498	13328
310.21252	14378
315.13504	8613
316.1123	67354
316.18649	24565
317.11475	8177
317.18671	8628
318.14389	15192
323.09888	15958
325.18607	11323
327.1333	11067
328.11844	25659
329.11789	9530
329.18188	11783
334.13956	28590
334.17459	7730
335.14044	8394
337.11655	9895
337.15536	8638
339.16714	7988
340.12592	24373
341.14752	7925
342.12955	159339
343.12784	44655
343.19775	9413
344.19699	21480
345.14294	10906
346.13892	39443
349.15637	9149
351.16711	18779
353.18283	23264
354.13965	22262
355.23303	8885
358.13525	25256
359.15344	21589
359.19528	10932
361.14612	39577
362.2066	8287
363.16489	9101
364.14999	33897
365.15491	11131
366.14084	7373
368.11856	8151
371.19394	37130
372.1503	19044
372.19824	9717
373.1492	32348
373.1972	6549
373.24573	11271
376.14487	16255
379.16217	19482
381.14111	18675
382.13687	20535
383.13828	16012
383.22824	11848
387.19113	36282
389.21243	7064
390.17181	22312
391.16199	17948
397.14853	16784
398.20172	17526
399.15158	54120
400.14929	47209
401.23892	8160
403.16144	9915
408.18881	14103
411.16333	23414
411.26056	13299
413.15533	7745
413.20459	45064
414.20645	12655
415.16055	11701
415.2562	8064
416.21353	29499
417.16223	58806
417.21301	17524
418.16129	62895
419.16626	14076
421.17197	13869
425.16476	14044
429.17355	35533
430.17422	17538
435.22357	7603
436.18188	14937
437.18674	8991
441.19797	60333
442.19666	24791
443.17816	22315
444.17786	16312
445.24631	23837
446.24677	8118
447.18488	19409
448.18579	12974
452.17728	30565
453.155	47447
454.16873	10467
458.2229	15431
459.22067	24113
460.19604	34394
462.20099	9622
463.25735	8504
464.20844	8379
465.20331	9544
466.26758	35822
467.27188	8632
469.17273	31830
470.18597	107384
470.23688	8322
471.19202	40422
472.18369	10901
477.21228	14921
478.18988	15668
479.1828	15680
480.18893	16476
480.28149	10071
481.17096	8298
484.28732	36815
485.28168	16259
487.18521	54700
488.19666	134496
488.25455	9307
489.19574	41547
490.20068	22310
495.22223	11438
498.20517	33981
499.19318	9058
501.20963	13482
502.29053	16299
504.21042	23109
505.19806	49613
506.2085	17499
508.19281	23022
509.17899	8012
512.2337	47226
516.20844	44972
517.19934	18253
519.21906	15405
522.21906	15329
523.2171	19977
524.23444	41146
525.23633	16020
526.19611	34277
527.19409	10563
529.20825	13187
529.2959	15493
530.21185	8164
534.22076	15845
535.20514	10078
542.25586	49000
544.20319	55522
545.21814	7780
547.21613	19271
551.25018	9804
552.23456	33214
559.2746	19214
560.27362	42118
561.27142	11935
562.21649	52388
563.22717	22999
565.2218	17863
567.31787	18231
569.25323	49064
570.2547	13655
573.2345	12629
578.28058	18606
580.23236	14709
582.24103	10296
585.32745	10630
586.22961	9734
587.26776	81497
588.2652	27483
591.23505	18624
594.32526	11425
595.28168	16426
597.36035	9402
598.23242	10669
606.24939	25711
607.24738	19291
609.2514	16478
610.24817	12961
612.33466	25896
613.22406	23896
614.29553	14080
616.24438	11072
617.28546	15061
621.28491	11804
622.27911	11094
623.27734	14456
625.28235	12026
627.25244	21080
630.2536	15330
630.35052	11403
631.23615	27449
634.24683	18907
635.28357	18489
636.27271	12177
643.30762	10541
645.26538	47178
646.2644	17533
648.26617	24344
649.25098	30718
650.24316	13064
651.26453	26480
652.26428	24387
653.28357	16305
663.27063	53337
664.27545	24202
666.27606	15621
673.26068	15207
681.28583	26150
682.2962	8185
687.29901	9862
689.30267	8744
691.27087	33246
698.31476	9409
699.28442	11707
700.328	14477
701.32904	12318
704.32941	15096
705.31195	27223
706.31244	10001
709.28015	16800
716.32391	11780
717.28772	22086
718.33649	16832
719.34235	13128
722.33569	13390
723.32764	11057
724.31714	7535
732.3103	23408
733.30945	9166
735.29596	23238
741.32318	9117
742.28284	23077
743.29773	11003
748.32495	7869
749.34424	11078
750.32654	40552
751.33325	31268
757.3244	11083
758.33563	23959
760.28558	50854
761.33771	21637
763.29529	7798
764.29785	10798
765.29773	10016
769.35895	9141
774.30328	18287
776.34595	13928
778.30133	67169
779.32056	25423
781.31219	10507
787.3692	15815
788.36041	8316
792.31573	22841
796.30688	50520
797.32025	29906
815.36041	8944
821.38214	10922
830.37469	10371
831.42139	10822
843.32935	18121
844.33813	10349
848.38507	11652
861.34143	29545
862.3512	16615
865.34436	13521
869.38074	17812
870.40033	17923
879.34186	37704
880.36115	21189
887.39087	24570
889.35199	14559
897.3703	26781
898.36609	17245
900.39233	12971
900.88483	22983
905.40344	24909
906.40656	10625
907.36169	19567
908.35858	16383
911.41028	9590
913.40405	25973
914.42389	13579
918.44586	9193
923.42407	12192
924.41425	9310
925.37048	34359
926.38086	22825
931.42383	11756
936.36206	12534
939.40009	12573
943.37872	16391
944.3783	17916
949.42834	11281
965.38824	10065
966.41827	10580
969.4671	11329
974.40033	14850
975.45422	12554
982.42163	28341
982.91687	12500
990.40619	15702
991.3869	14716
992.43115	26669
995.43604	19969
996.42578	9469
1006.47253	10599
1008.41229	30259
1009.41498	18107
1010.4375	16913
1011.43964	10897
1026.41602	43153
1027.41821	31091
1032.44824	16308
1032.95154	32683
1033.45703	22009
1035.43774	13496
1036.4491	12255
1044.4397	26455
1045.45056	23084
1050.45691	14528
1051.44702	15760
1067.95764	18350
1068.46497	33724
1068.9718	14057
1069.46887	12653
1075.48047	18090
1094.49426	19498
1095.495	10520
1104.4718	14166
1109.49512	14322
1117.5	19168
1118.00073	36554
1118.4978	39726
1119.00464	16502
1121.49377	31031
1122.49341	22638
1130.51074	20184
1131.00818	26282
1131.5083	24677
1139.50647	36315
1140.49878	23826
1157.50867	20220
1175.00977	13506
1175.50781	30060
1176.01074	23494
1186.52734	12744
1188.52209	12745
1189.01563	15502
1195.52222	13285
1199.55872	36966
1200.57764	15393
1201.5448	11145
1205.54431	11704
1213.52063	14333
1214.5271	11400
1222.54309	28655
1223.54053	21974
1240.54736	32706
1241.5437	16947
1259.57104	13538
1265.5127	35666
1266.51807	37012
1267.51343	17158
1279.54932	27668
1280.0542	26726
1280.55078	25256
1288.0741	88802
1288.56763	209525
1289.06079	271084
1289.54626	93947
1290.06567	24873
1310.59692	21785
1311.60181	27319
1312.60229	16399
1314.55884	11981
1321.58716	16100
1335.60596	15923
1336.6123	23611
1338.61621	13258
1343.58081	51944
1344.07617	87337
1344.57947	62259
1345.07776	23965
1345.60266	13686
1352.58179	14049
1353.61499	17084
1354.64783	13078
1376.56055	55287
1377.57483	62166
1378.57544	27633
1409.12695	18470
1409.61646	21290
1452.64844	29528
1453.15161	40833
1453.63464	18273
1478.63086	13001
1484.66809	14119
1485.65613	21124
1486.64734	14814
1487.63818	26734
1495.6698	17596
1496.15784	62754
1496.66638	100978
1497.15735	69873
1548.66455	18357
1549.65234	13324
1552.69775	30343
1553.20471	54438
1553.6969	36234
1600.70776	13794
1602.73132	23083
1603.22217	36671
1603.72461	63455
1604.22021	26530
1604.66003	14383
1636.71729	54916
1637.72388	69249
1638.70544	40267
1639.72058	16880
1647.72412	21978
1648.72351	32504
1649.73303	21913
1659.77063	21178
1660.2605	25127
1660.75427	15061
1662.72571	35814
1663.71936	29038
1664.72803	17897
1710.31311	16637
1710.78235	32900
1711.28394	18812
1749.75854	12604
1783.83203	15360
1784.33203	23840
1784.79626	15318
1791.77551	15142
1792.77173	17760
1799.76953	72159
1800.77307	100769
1801.78601	63377
1802.77502	21965
1816.69275	13673
1821.78491	14517
1825.77991	27349
1826.79285	45945
1827.78333	28693
1841.82239	12033
1905.82141	14186
1919.82068	16495
1920.83984	16786
1936.78955	14409
1938.81482	12866
1945.8125	14590
1946.82227	14278
1962.84241	64280
1963.84241	87642
1964.8595	57825
1965.81421	17257
1988.87573	39172
1989.84021	66755
1990.86023	57218
1991.84375	20333
2006.83936	23950
2007.85779	13419
2046.85571	14798
2047.8468	16434
2063.91113	63516
2064.90015	102121
2065.86572	78463
2066.86768	26086
2078.91357	19950
2088.87817	22972
2089.88403	27666
2099.89233	12616
2100.88574	15031
2101.88257	18680
2117.89673	19907
2118.91138	17291
2134.93359	65772
2135.927	101873
2136.93164	102725
2137.89941	26876
2233.99951	44320
2234.99268	93338
2236.00073	67873
2236.94189	18750
2242.00635	18795
2242.9812	18593
2259.92822	14165
2261.01147	19823
2262.01538	22895
2332.95776	14206
2349.01953	18798
2350.01855	38295
2351.01172	22045
2376.01758	15336
2405.02441	17619
2406.0459	20987
2448.00269	17931
2448.95752	18892
2456.10474	12345
2457.08691	14905
2479.04272	13595
2480.02271	13367
2519.07422	13878
2558.08618	34499
2559.07251	45782
2560.04321	19460
2575.09155	98352
2576.08325	250992
2577.08252	266965
2578.06787	109586
2579.07056	26208
2620.19312	12685
2686.18042	16914
2687.10986	36843
2688.12817	34583
2689.06689	16979
2704.13062	19008
2705.13867	20247
2818.25854	14954
2991.27954	19380
2992.24976	19198
2993.24805	16138
